DAX (GDAXI);Siemens;350;138,12;136,74;138,12;2023-08-16
DAX (GDAXI);Siemens Energy AG;1166602;13,54;13,33;13,56;2023-08-16
DAX (GDAXI);Siemens Healthineers;1072226;46,50;46,18;46,68;2023-08-16
DAX (GDAXI);Symrise AG;6328;90,720;90,400;91,140;2023-08-16
DAX (GDAXI);Volkswagen VZO;22402;115,10;115,10;115,96;2023-08-16
DAX (GDAXI);Vonovia;49817;20,40;20,27;20,48;2023-08-16
DAX (GDAXI);Zalando SE;942333;27,44;27,22;27,72;2023-08-16
IBEX 35 (IBEX);Acciona;449;127,750;127,700;129,000;2023-08-16
IBEX 35 (IBEX);Acerinox;445;9,170;9,166;9,282;2023-08-16
IBEX 35 (IBEX);ACS;442;31,530;31,380;31,700;2023-08-16
IBEX 35 (IBEX);Aena;945627;145,10;143,50;146,00;2023-08-16
IBEX 35 (IBEX);Amadeus;14615;63,720;63,660;64,100;2023-08-16
IBEX 35 (IBEX);ArcelorMittal;32439;24,380;24,140;24,515;2023-08-16
IBEX 35 (IBEX);Banco de Sabadell;473;1,0905;1,0780;1,0975;2023-08-16
IBEX 35 (IBEX);Bankinter;447;5,972;5,964;6,032;2023-08-16
IBEX 35 (IBEX);BBVA;446;7,090;7,048;7,156;2023-08-16
IBEX 35 (IBEX);Caixabank;452;3,770;3,768;3,816;2023-08-16
IBEX 35 (IBEX);Cellnex Telecom;951681;35,26;35,17;35,45;2023-08-16
IBEX 35 (IBEX);Corporacion Acciona Energias Renovables;1174892;26,18;26,16;26,54;2023-08-16
IBEX 35 (IBEX);Enagas;453;15,450;15,350;15,655;2023-08-16
IBEX 35 (IBEX);Endesa;13816;18,795;18,700;18,960;2023-08-16
IBEX 35 (IBEX);Ferrovial;459;29,520;29,500;29,760;2023-08-16
IBEX 35 (IBEX);Fluidra SA;32285;21,400;21,200;21,540;2023-08-16
IBEX 35 (IBEX);Grifols;458;13,490;13,360;13,630;2023-08-16
IBEX 35 (IBEX);IAG;13809;1,932;1,908;1,940;2023-08-16
IBEX 35 (IBEX);Iberdrola;463;10,710;10,605;10,795;2023-08-16
IBEX 35 (IBEX);Inditex;461;33,890;33,510;34,040;2023-08-16
IBEX 35 (IBEX);Indra;465;13,290;13,200;13,360;2023-08-16
IBEX 35 (IBEX);Inmob colonial;9060;5,440;5,400;5,460;2023-08-16
IBEX 35 (IBEX);Laboratorios Farmaceuticos ROVI SA;32178;47,880;47,680;48,180;2023-08-16
IBEX 35 (IBEX);Logista;104388;25,00;24,90;25,14;2023-08-16
IBEX 35 (IBEX);Mapfre;466;1,888;1,878;1,892;2023-08-16
IBEX 35 (IBEX);Melia Hotels International SA;32188;6,210;6,205;6,280;2023-08-16
IBEX 35 (IBEX);Merlin Properties SA;102931;8,135;8,100;8,160;2023-08-16
IBEX 35 (IBEX);Naturgy Energy;456;26,240;26,040;26,380;2023-08-16
IBEX 35 (IBEX);Red Electrica;460;14,730;14,730;14,855;2023-08-16
IBEX 35 (IBEX);Repsol;462;13,725;13,650;13,835;2023-08-16
IBEX 35 (IBEX);Sacyr Valle;472;2,906;2,904;2,948;2023-08-16
IBEX 35 (IBEX);Santander;474;3,5565;3,5415;3,5865;2023-08-16
IBEX 35 (IBEX);Solaria Energia y Medio Ambiente;32180;13,210;13,180;13,370;2023-08-16
IBEX 35 (IBEX);Telefonica;469;3,6000;3,5650;3,6090;2023-08-16
IBEX 35 (IBEX);Unicaja Banco;1013395;1,024;1,017;1,029;2023-08-16
PSI (PSI20);Altri;428;4,180;4,180;4,240;2023-08-17
PSI (PSI20);BCP;430;0,2484;0,2459;0,2510;2023-08-17
PSI (PSI20);Corticeira Amorim;15156;9,90;9,90;10,08;2023-08-17
PSI (PSI20);CTT Correios de Portugal SA;49929;3,38;3,36;3,38;2023-08-17
PSI (PSI20);EDP Renováveis;14606;16,33;16,33;16,66;2023-08-17
PSI (PSI20);Energias de Portugal;424;4,086;4,084;4,144;2023-08-17
PSI (PSI20);Galp Energia;421;12,18;11,95;12,18;2023-08-17
PSI (PSI20);Greenvolt Energias Renovaveis;1174982;6,030;6,030;6,140;2023-08-17
PSI (PSI20);Ibersol Reg;15165;6,72;6,72;6,80;2023-08-17
PSI (PSI20);Jeronimo Martins;423;23,68;23,68;24,30;2023-08-17
PSI (PSI20);Mota-Engil;433;2,425;2,405;2,445;2023-08-17
PSI (PSI20);Nos SGPS SA;13807;3,30;3,29;3,31;2023-08-17
PSI (PSI20);REN;434;2,450;2,445;2,470;2023-08-17
PSI (PSI20);Semapa;437;13,16;13,06;13,18;2023-08-17
PSI (PSI20);Sonae;439;0,9505;0,9455;0,9555;2023-08-17
PSI (PSI20);The Navigator;431;3,206;3,196;3,216;2023-08-17
DAX (GDAXI);Adidas;348;185,00;184,00;188,30;2023-08-17
DAX (GDAXI);Airbus Group;962988;127,56;126,92;128,84;2023-08-17
DAX (GDAXI);Allianz;347;221,95;220,90;223,40;2023-08-17
DAX (GDAXI);BASF;345;45,740;45,410;45,890;2023-08-17
DAX (GDAXI);Bayer;346;51,33;50,64;51,33;2023-08-17
DAX (GDAXI);Beiersdorf;6283;120,000;119,400;120,700;2023-08-17
DAX (GDAXI);BMW;652;99,100;98,640;99,910;2023-08-17
